jsx-no-jsx-as-prop	app/(app)/history/page.tsx:63:7	This child redraws every render because the prop gets brand new JSX each time.
jsx-no-jsx-as-prop	app/(app)/history/page.tsx:74:7	This child redraws every render because the prop gets brand new JSX each time.
prefer-module-scope-static-value	app/(app)/claims/page.tsx:116:9	`colourMap` inside `SlaPill` uses no local state but is rebuilt every render, so
no-giant-component	app/(app)/claims/page.tsx:178:31	Component "ClaimsPage" is 534 lines long, which is hard to read & change. Split 
jsx-no-jsx-as-prop	app/(app)/claims/page.tsx:455:7	This child redraws every render because the prop gets brand new JSX each time.
no-giant-component	app/(app)/customers/[id]/page.tsx:255:31	Component "CustomerProfilePage" is 854 lines long, which is hard to read & chang
no-inline-exhaustive-style	app/(auth)/reset/page.tsx:140:24	This inline style has 11 properties, which is hard to read & rebuilds every rend
prefer-module-scope-static-value	app/(app)/help/identity-matching/page.tsx:18:9	`map` inside `UniquenessChip` uses no local state but is rebuilt every render, s
no-giant-component	app/(app)/dashboard/page.tsx:237:31	Component "DashboardPage" is 457 lines long, which is hard to read & change. Spl
no-giant-component	app/(app)/customers/page.tsx:152:31	Component "CustomersOverviewPage" is 475 lines long, which is hard to read & cha
jsx-no-jsx-as-prop	app/(app)/customers/page.tsx:432:7	This child redraws every render because the prop gets brand new JSX each time.
jsx-no-jsx-as-prop	app/(app)/customers/page.tsx:443:7	This child redraws every render because the prop gets brand new JSX each time.
js-tosorted-immutable	app/(app)/audit/[runId]/page.tsx:91:10	This wastes work because [...array].sort() copies the array just to sort it, so 
no-giant-component	app/(app)/audit/[runId]/page.tsx:100:31	Component "AuditRunPage" is 609 lines long, which is hard to read & change. Spli
no-giant-component	app/(app)/reports/page.tsx:203:31	Component "ReportsPage" is 567 lines long, which is hard to read & change. Split
jsx-no-jsx-as-prop	app/(app)/reports/page.tsx:764:7	This child redraws every render because the prop gets brand new JSX each time.
prefer-module-scope-static-value	components/internal/NetworkMetricsChartsClient.tsx:71:9	`sectionStyle` inside `NetworkMetricsChartsClient` uses no local state but is re
no-inline-exhaustive-style	app/(auth)/reset/update/page.tsx:143:22	This inline style has 11 properties, which is hard to read & rebuilds every rend
no-giant-component	app/(app)/chargebacks/[id]/page.tsx:20:31	Component "EvidenceDetailPage" is 317 lines long, which is hard to read & change
no-giant-component	app/(app)/settings/account/page.tsx:19:25	Component "AccountSettingsPage" is 335 lines long, which is hard to read & chang
prefer-useReducer	app/(app)/settings/account/page.tsx:19:47	17 useState calls in "AccountSettingsPage" can each trigger a separate render.
nextjs-no-client-fetch-for-server-data	app/(app)/settings/account/page.tsx:44:3	useEffect + fetch in a page/layout makes your users wait through an extra round 
no-derived-state	app/(app)/settings/account/page.tsx:59:5	Storing "merchant" in state when you can derive it from other values costs an ex
no-event-handler	app/(app)/settings/account/page.tsx:48:69	Faking an event handler with state plus a useEffect costs an extra render & runs
no-fetch-in-effect	app/(app)/settings/account/page.tsx:44:3	fetch() inside useEffect races, double-fires & leaks for your users.
no-initialize-state	app/(app)/settings/account/page.tsx:59:5	Your users see an extra render with empty "merchant" because a useEffect sets it
jsx-no-jsx-as-prop	app/(app)/chargebacks/page.tsx:77:7	This child redraws every render because the prop gets brand new JSX each time.
jsx-no-jsx-as-prop	app/(app)/chargebacks/page.tsx:88:7	This child redraws every render because the prop gets brand new JSX each time.
prefer-module-scope-static-value	app/api/cron/purge-expired-audits/route.ts:58:11	`tables` inside `POST` uses no local state but is rebuilt every render, so it lo
js-combine-iterations	app/api/lookup/quick-score/route.ts:169:16	This loops over your list twice because .filter().map() makes two passes, so do 
prefer-module-scope-static-value	app/(public)/landing/_components/VerdictTicker.tsx:67:9	`doubled` inside `VerdictTicker` uses no local state but is rebuilt every render
prefer-module-scope-static-value	app/api/audit/[runId]/progress/route.ts:97:9	`statusMap` inside `GETHandler` uses no local state but is rebuilt every render,
prefer-module-scope-pure-function	app/api/evidence/ce3-check/route.ts:57:18	`txDate` inside `GET` uses no local state but is rebuilt on every render, so it 
prefer-module-scope-static-value	app/api/settings/bulk-delete/route.ts:45:9	`SOFT_DELETE_FIELD` inside `POSTHandler` uses no local state but is rebuilt ever
prefer-module-scope-static-value	app/api/inbox/export/route.ts:57:9	`headers` inside `GET` uses no local state but is rebuilt every render, so it lo
js-flatmap-filter	app/api/audit/[runId]/customer/route.ts:174:21	This loops over your list twice because .map().filter(Boolean) makes two passes,
no-inline-exhaustive-style	app/(public)/landing/AuditForm.tsx:64:18	This inline style has 10 properties, which is hard to read & rebuilds every rend
no-outline-none	app/(public)/landing/AuditForm.tsx:73:13	Your keyboard users can't tell where they are because outline: none hides the fo
click-events-have-key-events	app/(public)/landing/AuditForm.tsx:82:8	Keyboard users can't trigger this click handler because there's no keyboard one,
no-static-element-interactions	app/(public)/landing/AuditForm.tsx:82:8	Screen reader users can't tell this click handler is interactive because it has 
no-inline-exhaustive-style	app/(public)/landing/AuditForm.tsx:130:16	This inline style has 14 properties, which is hard to read & rebuilds every rend
no-giant-component	app/(public)/landing/_components/PipelineTabs.tsx:45:25	Component "PipelineTabs" is 350 lines long, which is hard to read & change. Spli
no-inline-exhaustive-style	app/(public)/landing/_components/PipelineTabs.tsx:111:22	This inline style has 10 properties, which is hard to read & rebuilds every rend
no-inline-exhaustive-style	app/(public)/landing/_components/PipelineTabs.tsx:122:21	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/_components/PipelineTabs.tsx:158:28	This inline style has 12 properties, which is hard to read & rebuilds every rend
no-inline-exhaustive-style	app/(public)/landing/_components/PipelineTabs.tsx:243:26	This inline style has 9 properties, which is hard to read & rebuilds every rende
js-combine-iterations	app/(public)/landing/_components/NetworkChart.tsx:163:10	This loops over your list twice because .filter().map() makes two passes, so do 
no-giant-component	app/(public)/landing/page.tsx:86:25	Component "LandingPage" is 1543 lines long, which is hard to read & change. Spli
prefer-module-scope-static-value	app/(public)/landing/page.tsx:121:9	`heroSubjectFields` inside `LandingPage` uses no local state but is rebuilt ever
prefer-module-scope-pure-function	app/(public)/landing/page.tsx:182:31	`heroSubjectRowDelay` inside `LandingPage` uses no local state but is rebuilt on
no-inline-exhaustive-style	app/(public)/landing/page.tsx:533:73	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:817:26	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:864:24	This inline style has 9 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:871:24	This inline style has 9 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:961:28	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1016:25	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1023:23	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1040:69	This inline style has 9 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1049:25	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1053:65	This inline style has 9 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1056:23	This inline style has 9 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1067:23	This inline style has 8 properties, which is hard to read & rebuilds every rende
nextjs-no-img-element	app/(public)/landing/page.tsx:1123:15	Plain <img> ships unoptimized, oversized images to your users.
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1143:23	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1331:29	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1359:34	This inline style has 10 properties, which is hard to read & rebuilds every rend
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1410:24	This inline style has 8 properties, which is hard to read & rebuilds every rende
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1438:24	This inline style has 10 properties, which is hard to read & rebuilds every rend
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1471:26	This inline style has 12 properties, which is hard to read & rebuilds every rend
no-inline-exhaustive-style	app/(public)/landing/page.tsx:1490:28	This inline style has 13 properties, which is hard to read & rebuilds every rend
async-parallel	app/api/account/delete/route.ts:102:5	These 3 sequential await statements run one after another even though they look 
prefer-module-scope-static-value	app/api/account/delete/route.ts:147:11	`tables` inside `POST` uses no local state but is rebuilt every render, so it lo
no-uncontrolled-input	app/(public)/audit/[runId]/report/ClaimGate.tsx:91:11	Your users can't type in this <input value={...}> because it has no `onChange` o
prefer-useReducer	app/(public)/audit/[runId]/report/ClaimGate.tsx:6:91	5 useState calls in "ClaimGate" can each trigger a separate render.
prefer-useReducer	app/(public)/audit/AuditUploadForm.tsx:50:43	10 useState calls in "AuditUploadForm" can each trigger a separate render.
rerender-state-only-in-handlers	app/(public)/audit/AuditUploadForm.tsx:57:9	Each update to "columnMap" redraws your component for nothing because this useSt
no-initialize-state	app/(public)/audit/AuditUploadForm.tsx:67:7	Your users see an extra render with empty "email" because a useEffect sets its s
prefer-module-scope-static-value	app/(public)/audit/AuditUploadForm.tsx:150:9	`mono` inside `AuditUploadForm` uses no local state but is rebuilt every render,
prefer-module-scope-static-value	app/(public)/audit/AuditUploadForm.tsx:151:9	`sans` inside `AuditUploadForm` uses no local state but is rebuilt every render,
prefer-module-scope-static-value	app/(public)/audit/AuditUploadForm.tsx:152:9	`serif` inside `AuditUploadForm` uses no local state but is rebuilt every render
no-inline-exhaustive-style	app/(public)/audit/AuditUploadForm.tsx:171:18	This inline style has 9 properties, which is hard to read & rebuilds every rende
no-outline-none	app/(public)/audit/AuditUploadForm.tsx:178:13	Your keyboard users can't tell where they are because outline: none hides the fo
click-events-have-key-events	app/(public)/audit/AuditUploadForm.tsx:197:10	Keyboard users can't trigger this click handler because there's no keyboard one,
no-static-element-interactions	app/(public)/audit/AuditUploadForm.tsx:197:10	Screen reader users can't tell this click handler is interactive because it has 
no-inline-exhaustive-style	app/(public)/audit/AuditUploadForm.tsx:249:16	This inline style has 10 properties, which is hard to read & rebuilds every rend
no-inline-exhaustive-style	app/(public)/audit/AuditUploadForm.tsx:278:18	This inline style has 9 properties, which is hard to read & rebuilds every rende
no-wide-letter-spacing	app/(public)/audit/AuditUploadForm.tsx:297:56	Your users find body text harder to read at 0.10em letter spacing, so save wide 
